CNCF Maintainers Survey 2020 H2,,,,,,,,,,,,,
,,,,,,,,,,,,,
Q1. Name,,,,,,,,,,,,,
Answered,97,,,,,,,,,,,,
Skipped,0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q2. Company (or independent, if applicable)",,,,,,,,,,,,,
Answered,97,,,,,,,,,,,,
Skipped,0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Q3. Email address,,,,,,,,,,,,,
Answered,97,,,,,,,,,,,,
Skipped,0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Q4. Which CNCF Project(s) are you maintaining?,,,,,,,,,,,,,
Answer Choices,Response Percent,Responses,,,,,,,,,,,
"Q7. Did you feel that the CNCF staff responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.",,,,,,,,,,,,,
Answer Choices,1,2,3,4,5,6,7,8,9,10,N/A,Total,Weighted Average
star,1,0,1,0,0,0,5,13,11,57,9,97,9.23
Other (please specify),,,,,,,,,,,,11,
,,,,,,,,,,,,Answered,97
,,,,,,,,,,,,Skipped,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q8. Did you feel that the CNCF TOC responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.",,,,,,,,,,,,,
Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Weighted Average,
star,1,3,4,1,10,10,14,15,16,23,97,7.47,
,,,,,,,,,,,Answered,97,
,,,,,,,,,,,Skipped,0,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q9. Are your documentation needs being met (e.g., website, tech writing)?10 - strongly agree, 1 - strongly disagree.",,,,,,,,,,,,,
Answer Choices,1,2,3,4,5,6,7,8,9,10,N/A,Total,Weighted Average
star,1,2,3,2,1,5,8,19,13,19,24,97,7.84
Other (please specify),,,,,,,,,,,,19,
,,,,,,,,,,,,Answered,97
,,,,,,,,,,,,Skipped,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q10. Are your CI needs being met (e.g., Travis CI, Circle CI, GitHub Actions etc)?10 - strongly agree, 1 - strongly disagree.",,,,,,,,,,,,,
Answer Choices,1,2,3,4,5,6,7,8,9,10,N/A,Total,Weighted Average
star,1,1,1,1,1,6,8,12,16,30,20,97,8.4
Other (please specify),,,,,,,,,,,,18,
,,,,,,,,,,,,Answered,97
,,,,,,,,,,,,Skipped,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q11. Are your security needs being met (e.g., security audits)?10 - strongly agree, 1 - strongly disagree.",,,,,,,,,,,,,
Answer Choices,1,2,3,4,5,6,7,8,9,10,N/A,Total,Weighted Average
star,2,1,0,3,1,5,4,6,14,28,33,97,8.33
Other (please specify),,,,,,,,,,,,15,
,,,,,,,,,,,,Answered,97
,,,,,,,,,,,,Skipped,0
,,,,,,,,,,,,,
