Respondent ID,Collector ID,Start Date,End Date,Which CNCF Project are you contributing to/representing?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Where are you based (part of the world)?,"What is your feeling with respect to your overall experience with CNCF staff, where 10 is completely met expectations and 1 - did not meet expectations? *",Do you feel that CNCF reached out to collaborate and gather info about your needs? *,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF Speakers Bureau, CNCF Swag Store)?",Efficiency: Did you feel that the CNCF team responded quickly to your requests? Where 10 is work was completed on time or ahead of schedule and 1 is delayed? *,How satisfied are you with the ambassador program?,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
,,,,Kubernetes,Prometheus,OpenTracing,Fluentd,CoreDNS,containerd,rkt,gRPC,Linkerd,CNI,Envoy,Jaeger,TUF (The Update Framework),Notary,Rook,Vitess,NATS,SPIFFE,SPIRE,Open Policy Agent,CloudEvents,Telepresence,Helm,Harbor,OpenMetrics,TiKV,Cortex,Buildpacks,Falco,Dragonfly,Virtual Kubelet,etcd,Brigade,KubeEdge,Network Service Mesh,OpenTelemetry,OpenEBS,Thanos,Flux,in-toto,Strimzi,KubeVirt,Longhorn,ChubaoFS,Other (please specify),Response,Response,Response,Response,Response,Response,Open-Ended Response
11371774557,254609041,02/26/2020 5:19:11 AM,02/26/2020 5:19:21 AM,Kubernetes,Prometheus,,,,,,,,,,,,,,,,,,,,,Helm,,,,,,,,,,,KubeEdge,,,,,,,,,,,,Asia,9,Yes,8,8,Satisfied,CNCF should encourage Ambassadors and experts to publish customer user stories or reference architectures. k8s adoption details are less in web compare to other technical details. Let there be a use case series of talks or blogs.
11371342925,254609041,02/26/2020 12:59:16 AM,02/26/2020 1:04:52 AM,Kubernetes,,,,,,,,,,,,,,,,,,,,CloudEvents,,,,,,,,,,,,,,,,,,,,,,,,,South America,10,Yes,10,10,Very satisfied,I am new on program so I need more experience for give a good opinion
11371253759,254609041,02/26/2020 12:21:27 AM,02/26/2020 12:24:57 AM,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,10,Yes,10,10,Very satisfied,everything is great!
11370717612,254609041,02/25/2020 9:05:39 PM,02/25/2020 9:07:23 PM,Kubernetes,Prometheus,,,,,,,,,,,,,,,,,,Open Policy Agent,,,,,,,,,,,,,,,,,,,,,,,,,,North America,8,Yes,8,8,Very satisfied,I would like to find more opportunities for ambassador involvement with the community.
11370693814,254609041,02/25/2020 8:56:50 PM,02/25/2020 8:59:13 PM,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,Harbor,,,,,,,,,,,,,,,,,,,,,,South America,8,Yes,9,9,Very satisfied,None
11370153329,254609041,02/25/2020 6:01:57 PM,02/25/2020 6:04:55 PM,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,9,No,6,10,Very satisfied,doing great
11370143561,254609041,02/25/2020 5:53:48 PM,02/25/2020 6:01:04 PM,,,,,,containerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,10,Yes,10,10,Very satisfied,nope; really enjoy being part of the program!
11370114561,254609041,02/25/2020 5:48:38 PM,02/25/2020 5:51:27 PM,Kubernetes,Prometheus,OpenTracing,Fluentd,,containerd,,,,,,,,Notary,,,,,,Open Policy Agent,,Telepresence,Helm,,,,,,Falco,,,,,,,OpenTelemetry,,,Flux,in-toto,,,,ChubaoFS,,Europe,8,Yes,9,10,Satisfied,"less king-maker, more grass root"
11370085259,254609041,02/25/2020 5:39:33 PM,02/25/2020 5:41:12 PM,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,9,Yes,10,10,Satisfied,None so far!
11370069713,254609041,02/25/2020 5:33:46 PM,02/25/2020 5:36:41 PM,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cloud Native community in generall,Europe,4,Yes,6,5,Neither satisfied nor dissatisfied,"You know, that whole Istio thing."
11369913838,254609041,02/25/2020 4:26:50 PM,02/25/2020 4:42:57 PM,Kubernetes,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"influx, Rancher, k3s, Edge computing, security, grafana",Asia,10,Yes,7,10,Very satisfied,"When a new person joins the Ambassador program , they should be tols about the benefits apart from the regular email like how to apply for the speaker bureau, cloud accounts for meetups, one time swag stickers for meetups. Also CNCF should help in setting up the infra for video recording for  the meetups so that all meetups are live and recorded. Another point is setting up a schedule for beginner track for beginners and give that special focus meaning creating a schedule and posting it everywhere and encouraging beginners to go via that route to get the max out of the conference. Then have a fair opportunity to all  for kubernetes 101 and 201 full day trainings, have separate travel funding for CNCF ambassadors who have session at kubecon, Sendng out the notification of diversity scholorships and Travel funding little advance as VISA process take time. "
11369892197,254609041,02/25/2020 4:29:56 PM,02/25/2020 4:34:53 PM,Kubernetes,,,,,,,,,,,,,,,,,,,,,,Helm,,,,,,,,,,,,,,,,,,,,,,,North America,8,No,6,9,Satisfied,"More check-ins and proactively asking how help can be provided would be great! Also, more engagement to support CNCF projects in certain requests that help the community."
11369789491,254609041,02/25/2020 3:37:40 PM,02/25/2020 3:57:20 PM,Kubernetes,Prometheus,OpenTracing,,,,,,,,Envoy,Jaeger,,,,,,,,,CloudEvents,,,,,,,,,,,,,,,,,,,,Strimzi,KubeVirt,,,,North America,9,Yes,10,9,Very satisfied,Regional Forums gave great chances to catch up major topics in recent KubeCon as well as local user cases. Can we share the survey result of past forums to make it better for the next ones?
11369779389,254609041,02/25/2020 3:45:44 PM,02/25/2020 3:51:40 PM,Kubernetes,,,,,,,,,,Envoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,7,Yes,7,7,Neither satisfied nor dissatisfied,Gather community and spread knowledge
11369762673,254609041,02/25/2020 3:43:10 PM,02/25/2020 3:45:08 PM,Kubernetes,Prometheus,,,CoreDNS,containerd,,gRPC,,,,,,,,,,,,Open Policy Agent,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,9,Yes,9,10,Very satisfied,No
