Respondent ID,Collector ID,Start Date,End Date,Which CNCF Project(s) are you maintaining?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do you feel that CNCF reached out to collaborate and gather info about your project needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Efficiency: Did you feel that the CNCF team responded quickly to your requests?,,"Are your documentation needs being met (e.g., website, tech writing)?","Are your CI needs being met (e.g., Travis CI, Circle etc)?",,"Are your security needs being met (e.g., security audits)?",,"Are your non-CI tooling needs being met (e.g., bots or automation)?",,"Are your marketing needs being met (e.g., events, velocity reports)?",,What is your feeling with respect to your overall experience with CNCF?,"Would you recommend CNCF to other open source projects, and why?",,"What diversity efforts could CNCF help out with for your project (e.g., maintainers, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
11088726474,248246892,2019-10-23 14:13:30,2019-10-23 14:32:09,,,,,,,,,,,,,,,,,SPIFFE,SPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,Other (please specify),"I don't feel that we get reached out to very often if at all, but at the same time I have not made an effort to do so myself, nor have I requested much. A correspondence in the context of ""Is there anything we can do to help you"" with a few examples of areas that CNCF could help would probably go a long way.",Disagree,"As a maintainer of a sandbox project, I feel a little bit like a ""red-headed stepchild"". I see the CNCF ServiceDesk and other CNCF resources, but it is not clear what is available to us considering our sandbox status (there certainly seem to be many facilities that are reserved for incubation projects).",Agree,"I have not requested much (if anything), but I do receive timely response when I reach out to collaborate over events like KubeCon etc",Strongly disagree,Agree,"Our CI needs are mostly being met, though we are using free Travis. Build times are very slow, but we deal with it...",Neutral,"Related to question 6, it is not super clear what we're eligible for as a sandbox project",Neutral,"Related to question 9, most of our needs are being met but not because they're being facilitated directly by CNCF",Disagree,"We get some GitHub metrics from the CNCF dashboard, but we really struggle with demonstrating adoption - there are many indirect signals, surveys or other user engagement would probably go a long way",7,7,"As businesses fund open source projects with the ultimate goal of monetization in mind, I feel that the community greatly benefits from the shelter/protection that a neutral foundation can provide. In addition, the CNCF ecosystem and community is very strong, with lots of experienced folks that can help to advise and provide project guidance.",A program like GSoC would be great,"Website help - we received some a year or two ago but it still looks pretty woeful.  Help getting our docs in order... IMO it's related to marketing in the same way that the website is.  Visibility at KubeCon - as a sandbox project, we don't get much. We've historically had many talks at KubeCons past but for some reason only one got through this year in North America even though many quality talks were submitted. I don't expect the selection committee to be required to select CNCF project talks, however this year definitely feels like we got a little cold shouldered for whatever reason.",Help with technical writing. Our docs need some serious love and they are badly impacting the project optics.,I think most of my feelings are captured above :) thank you! Happy to talk further if you like.
11088670547,248246892,2019-10-23 13:29:55,2019-10-23 14:05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,Buildpacks,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,My other maintainers have a better idea than I do and hare good resources for me.,Agree,,N/A,Agree,,N/A,,Agree,,N/A,,8,7,,N/A,N/A,N/A,N/A
11088621841,248246892,2019-10-23 13:37:04,2019-10-23 13:43:20,,,,,,containerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Strongly Agree,Strongly agree,,Agree,,Agree,,Agree,,9,Absolutely,"Inclusive, visibility, trust.",n/a,existing efforts are working,n/a,I'd like to thank Chris for his efforts.
11088616691,248246892,2019-10-23 13:36:52,2019-10-23 13:41:17,,,,,,,,,,,,,,,,,SPIFFE,SPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,N/A,N/A,,Strongly agree,,N/A,,Agree,,Fantastic,Absolutely,,we are ok,Webinars ,"security audit of code, white box and black box ",
11088605238,248246892,2019-10-23 13:33:57,2019-10-23 13:36:14,,,,,,,,,,,,,,,,,SPIFFE,SPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Disagree,,N/A,,Agree,Disagree,,N/A,,Disagree,,N/A,,Neutral,4,,Unsure,Unsure,Paid Slack accounts,
11088596377,248246892,2019-10-23 13:20:37,2019-10-23 13:32:12,,,,,,,,,,,,,,,,,,,,,,,,,,,Buildpacks,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Strongly agree,,Neutral,Agree,,Neutral,,Strongly agree,,Neutral,,9,9,"CNCF provides a trusted, vendor-neutral home for quality projects that represent significant contributions to the Cloud Native ecosystem.","It’s important to us that CNB remain accessible to all contributors regardless of their company affiliation or background. I don’t have any specific asks here yet, but I am interested in cultivating a diverse project.",Not sure what marketing resources are available to sandbox projects.,A public Docker registry paid for by the CNCF would solve some of our distribution issues.,
11088573802,248246892,2019-10-23 13:17:42,2019-10-23 13:23:41,,,,,,,,Linkerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Agree,Agree,,Agree,,Agree,,Neutral,,8,8,"Foundations can be a headache, but most of them are much much worse than CNCF; but the value of a foundation outweights is headaches.",We'd love to funnel more folks looking to get involved with CNCF projects to Linkerd. We've had some great luck around GSoC this past year with Tarun. More of that!,Reference architectures!,idk,I'd love feedback from YOU on how linkerd can be a better CNCF project ;)
11088552096,248246892,2019-10-23 13:11:36,2019-10-23 13:14:35,,Prometheus,,,,,,,,,,,,,,,,,,,,,,OpenMetrics,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Agree,,Neutral,Agree,,Strongly agree,,Neutral,,Agree,,8,7,,Something like Outreachy might work.,n/a. The project booths are a good thing.,n/a,
11088378680,248246892,2019-10-23 12:03:36,2019-10-23 12:07:49,,,,,,,,,,Envoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, but my needs were not generally met",,Neutral,,Neutral,"Easy requests yes, complex requests no",Disagree,Neutral,,Neutral,,Neutral,,Agree,,Neutral,5,,All,Marketing is good,Fellowships and doc writers,"Focus on spending money on projects, especially more complex needs, around fellowships, doc writing, examples, tutorials, etc."
11087892503,248246892,2019-10-23 09:21:05,2019-10-23 09:25:49,,,,,,,,,,,,,,,,NATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Neutral,Agree,,Agree,,N/A,,Neutral,,7,7,,n/a,Project booths are great. Additional ideas for marketing and metrics for which garner the best results.,n/a,
11087804088,248246892,2019-10-23 08:53:44,2019-10-23 08:58:11,,,,,,,,,,,,,,,,,,,,,,,,,,,Buildpacks,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Strongly agree,,Neutral,Agree,,Neutral,,Agree,,Neutral,,7,7,Visibility is good. Well run. But depends on the type of project really.,Unsure,"I'm not sure if the CNCF should help with this, but we need resources for doing demos (for example, an agency that can help us with recording demos for showing at a booth). If these could exist outside of a vendor specific booth, that would be great. I also think it would be help to get advice on what events to target (i.e. where is the best audience besides KubeCon)",,No
11087770688,248246892,2019-10-23 06:03:19,2019-10-23 08:52:41,,,,,,,,,,,,,,Rook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,"Not sure why, but having a portal page with all ""important"" links would be cool. At least I'm kinda forgetting the CNCF ServiceDesk exists from time to time.",Strongly agree,,Agree,N/A,,Strongly agree,,N/A,,Agree,,8,8,"It is a good platform for a project, but it depends on the project if that can help.","For the project, more people from diverse backgrounds reading the documentation to make sure it is understandable for everyone.",Webinar offers for the project would be cool.,"Technical writers for projects, would be good to have them easily available.",
11087601623,248246892,2019-10-23 07:12:47,2019-10-23 07:54:47,,,,,,,,,,,,,,,,,,,,,,Helm,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Agree,Agree,,Agree,,Neutral,,Neutral,,7,5,"When you require a vendor neutral home for a cloud native project there is no better organization than the CNCF, right now.    But, the CNCF comes with a certain amount of politics built around companies competing with each other. You have to deal with, navigate, and even know when to ignore elements of that. This is not for every technical person running a good open source project.","More international (non-US) contributors. Especially those outside of ""western"" countries.",Project booths at end-user conferences including those not organized by TLF.,FOrmal mentoring for project maintainers,
11087598917,248246892,2019-10-23 07:45:37,2019-10-23 07:53:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenEBS,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,N/A,N/A,,N/A,OpenEBS is Sandbox project,N/A,,N/A,,Fantastic,Absolutely,,Project that are mostly developed in Asia (non English speaking countries) would need more coaching or help in terms of content generation or presentation to appeal to the global market. More training material or mentors for projects that are heaving based in non North America would help.  ,Webinars can be increased as the number of projects under the CNCF have grown considerably in the past one year. ,Mentorship on projects to help them focus on adhering to the CNCF graduation criteria and guidelines. This is currently being done on a on-demand basis. What if call for volunteers is sent out by CNCF to help out with other projects?,Just amazed at the amount of work and events coming out of CNCF. Thank you!!
11087523840,248246892,2019-10-23 07:27:47,2019-10-23 07:35:05,,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,"We have a monthly sync with Chris A., where we usually get things figured out.",Agree,,Agree,Agree,,Agree,,N/A,,Strongly Agree,,8,8,,"I'd definitely love better diversity in our project, but I don't know which efforts would be effective. Perhaps we need a meta-effort to teach us maintainers how to find reasons and remedies for a lack of diversity.",Really happy with the help we are getting.,Don't know of any.,
11087345420,248246892,2019-10-23 06:36:23,2019-10-23 06:39:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRI-O,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Agree,Agree,,Agree,,N/A,,Agree,,8,8,,Don't Know,N/A,,
11087274372,248246892,2019-10-21 18:16:47,2019-10-23 06:17:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KubeEdge,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Neutral,Agree,,Strongly agree,,Agree,,Neutral,,9,9,1. vendor neutral home for OSS projects  2. fast growing community  3. wide adoption of current projects under CNCF - which also provides that CNCF is successful,-,Would like to get help on letting more people know about the project,-,
11087242310,248246892,2019-10-23 06:05:11,2019-10-23 06:08:57,,,,,,containerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Strongly Agree,Neutral,,Strongly agree,,Agree,,Agree,,9,9,"good organizational structure, helpful staff, good events",help us find interested contributors from students/diverse backgrounds that aren't very aware of low-level infra projects like a container runtime,I think we have fairly good coverage for marketing,improvement of cross-project CI enablement,
11085441042,248246892,2019-10-22 14:24:19,2019-10-22 14:28:21,,,,,,containerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, but my needs were not generally met",,Neutral,,Neutral,,Disagree,Disagree,,Agree,,Disagree,,Neutral,,Neutral,6,,contributors,"blog posts, announcements, keynote acknowledgements",providing test infrastructure,"JIRA has been very problematic for me. The problem may be isolated to me, but I have had to find other solutions rather than using the service desk just because I cannot login every time I need to use it. After the problem is resolved, a few months later JIRA doesn't work again."
11084135282,248246892,2019-10-22 07:10:35,2019-10-22 07:30:06,Kubernetes,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thanos,,,,,,"Yes, and my needs were generally met",,Neutral,,Neutral,,Agree,Neutral,,Agree,,Disagree,,Agree,,6,7,,maybe sponsor work on projects for people from under represented groups?,-,-,
11083053466,248246892,2019-10-21 22:43:46,2019-10-21 22:47:46,,,,,,,,,,,Jaeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Strongly Agree,Strongly agree,,Strongly agree,,Strongly agree,,Strongly Agree,,Fantastic,Absolutely,,I have all the help I need from the CNCF in this area. Thank you!,n/a,n/a,
11082806682,248246892,2019-10-21 19:01:18,2019-10-21 19:05:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KubeEdge,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Neutral,Neutral,,Neutral,,Neutral,,Neutral,,9,Absolutely,,Rewards for contributions: 'Pat on Back' kind of regular appreciations for contributors can help. Also contributors photo wall,Getting more contribution and usage positioning of the projects; Solution Architecture,NA,NA
11082285644,248246892,2019-10-21 13:51:50,2019-10-21 13:57:39,,,,,,,,,,,,,,,Vitess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,N/A,,Strongly Agree,Neutral,,Strongly agree,,N/A,,Strongly Agree,,Fantastic,Absolutely,"It is a great community to belong to, and the people I have worked with have always been very pleasant and helpful.",none,N/A,Test infrastructure for compatibility testing between releases / with related projects,
11082151091,248246892,2019-10-21 12:56:38,2019-10-21 12:59:55,,,OpenTracing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenTelemetry,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Agree,N/A,,N/A,,Disagree,"The LF CLA is a significant problem for us... I don't mind a CLA in principle, but can it pretty-please be more like (e.g.) the Google CLA? I.e., a simple web form, no docusign, etc.",Strongly Agree,,9,9,,"Would be great to get in front of a diverse audience and ""pitch"" our project – we'd love more diversity but it's hard to attract.",Keynotes are a bit of a knife-fight right now... not sure if more process would help there (or not).,nothing comes to mind,"It would be nice to have admin access to our own groups.io lists, at least for the governing committees. (This just came up today, so perhaps I'm overfitting)      Overall, I'm very positive on the CNCF – thanks!"
11081760101,248246892,2019-10-21 10:42:32,2019-10-21 10:46:41,,,,,,,,,,,,,,,,,,,,,Telepresence,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,N/A,,Agree,Agree,,Disagree,,N/A,,Neutral,,7,8,CNCF does good work and is getting better at it.,I would love to have more (regular) outside contributors,"Mostly getting the word out would be helpful. There's isn't that much discussion of app development, local dev help, etc.",It would be cool to have on-demand ephemeral K8s clusters for CI,Good work!
11081721787,248246892,2019-10-21 10:27:18,2019-10-21 10:36:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenTelemetry,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,N/A,N/A,,N/A,,N/A,,Strongly Agree,,Fantastic,Absolutely,,-,"help with demos and workshops creation. Not sure about specifics though, but I feel there is a lack of good and easy to use workshops across many projects",Easier calendar + zoom + zoom recordings uploads maintenance,
11081654274,248246892,2019-10-21 09:50:29,2019-10-21 10:11:19,,,,,,,,,,,,,,,,,,,Open Policy Agent,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Strongly agree,,Agree,Agree,,Neutral,,Agree,,Agree,,8,7,,Not sure,Project website design,Can't think of any,
11081592059,248246892,2019-10-21 09:45:04,2019-10-21 09:50:58,,,,,,,,,,,,,,,,NATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Neutral,Agree,,Agree,,N/A,,Agree,,Neutral,3,"Not sure CNCF really helps OSS projects figure out how to run themselves as a business. They are good at marketing and exposure, but fall short IMO when the project itself is not funded by indirect revenue from a big company, like Google, MS, AWS etc.","Possibly maintainers, but again this is tough since for a project that generally meets market needs and has a responsive team already, not alot of incentive for those to spend the time needed to become a core contributor.","Lightboard. Would be great if they purchased a setup and allowed projects to schedule time to make videos with it. They would pat for their own travel etc, but could be used for free. Or maybe partner with big companies who have one.",Business models and feedback for commercial efforts for the more independent OSS projects.,"CNCF is experiencing a lot of growing pains, but that is natural and a good place to be since it signals massive growth. That is a good thing."
11081588872,248246892,2019-10-21 09:45:12,2019-10-21 09:50:04,,,,Fluentd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Neutral,Strongly agree,,Strongly agree,,N/A,,Agree,,8,9,,N/A,Project booths,"When speaking at not CNCF events but related conferences, budget for travel.",
11075127119,248246892,2019-10-18 00:19:40,2019-10-18 00:29:23,,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Agree,Strongly agree,,Strongly agree,,N/A,,Strongly Agree,,9,9,,Might be worth trying out paid diversity scholarships for *both* sides of a mentor/mentee relationship.,Just keep up the good help around PromCon :),-,
11074810657,248246892,2019-10-17 19:45:44,2019-10-17 19:54:15,,,,,,,,,,,,,,,Vitess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Agree,Agree,,Strongly agree,,Strongly agree,,Strongly Agree,,Fantastic,Absolutely,great visibility and marketing,maintainers,"webinars, meetups and interviews",Can't think of any,
11074724693,248246892,2019-10-17 18:30:24,2019-10-17 18:44:44,,,,,,,,,,,,TUF (The Update Framework),,,,,,,,,,,,,,,,,,,,,,,,,,,,In-Toto,,,,"Yes, and my needs were generally met",,Disagree,I wasn't aware of most of this.  A lot of what the CNCF does is really helpful but seems more KubeCon related.  Do many projects have the CNCF do other non-Kubecon events?,Agree,,Neutral,Agree,,Agree,,Agree,The Signed-Off-By DCO commit message is mildly annoying to add via the github webui.  A better workflow would be nice.,Disagree,"Would like to see more guidance if it is felt something we should do in this regard.  Velocity reports are pretty meaningless to us, so we don't know what we're looking for.  However, we're also careful about how we are trying to grow.",8,7,,We have quite a bit of diversity.  ,Some way to reward good contributors (even if it is just project swag) would be nice.,"Slack bridging, but this problem is largely not from the CNCF side.  Still, it would benefit the CNCF if we could solve it.","This may be expected with things rolling out, but the TOC process for evaluating projects is really becoming burdensome while still being unclear.  Some CNCF staff carefully thinking how to streamline and supporting the TOC members more closely could possibly help with this.  "
11074657734,248246892,2019-10-17 17:51:12,2019-10-17 17:56:15,,,,,,,,,,,,,,,,,,,,CloudEvents,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Strongly Agree,N/A,,N/A,,Strongly agree,,N/A,,9,9,,none,Since we're a sandbox project they're not allowed to help so I can't really answer :-),none,
