Respondent ID,Collector ID,Start Date,End Date,Which CNCF Project(s) are you maintaining?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do you feel that CNCF reached out to collaborate and gather info about your project needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Efficiency: Did you feel that the CNCF team responded quickly to your requests?,,"Are your documentation needs being met (e.g., website, tech writing)?","Are your CI needs being met (e.g., Travis CI, Circle etc)?",,"Are your security needs being met (e.g., security audits)?",,"Are your non-CI tooling needs being met (e.g., bots or automation)?",,"Are your marketing needs being met (e.g., events, velocity reports)?",,What is your feeling with respect to your overall experience with CNCF?,"Would you recommend CNCF to other open source projects, and why?",,"What diversity efforts could CNCF help out with for your project (e.g., maintainers, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
11098779490,248246892,2019-10-28 09:07:31,2019-10-28 09:14:47,Kubernetes,,,,,,,,,,,,,,,NATS,,,,,,,,,,,,Virtual Kubelet (VK),,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Neutral,Agree,,Strongly disagree,,Strongly disagree,"Other than kubernetes project, other projects have mostly no automation",N/A,I am clueless.,9,8,"The landscape is too big for customers so your project may get lost in the growing _noise_. However, there are clear guidelines and it's not as bureaucratic as ASF.",Whatever you can come up with,I am clueless.,I am clueless.,"Sorry, can't come up with something meaningful."
11098141791,248246892,2019-10-28 05:36:49,2019-10-28 05:48:06,,,,,,,,,,,,,,,,,,,Open Policy Agent,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Strongly Agree,N/A,We don't rely on CNCF for CI needs.,Strongly agree,External security audits are highly valuable.,N/A,We don't require any bots or automation from the CNCF at this point in time.,Agree,,9,Absolutely,"Having a vendor neutral home and a broad community to participate in is valuable for early and mature projects alike. If your project fills a need within the ecosystem, I would recommend considering the CNCF. Their marketing and infrastructure support is top notch.",We do not require any assistance in this area at this time.,We would like to participate in more end-user webinars in the future. In June we participated on a call and their was good interest in the project--in fact we ran out of time and could not answer all questions/topics.,I wish that CNCF/LF could negotiate a deal with Slack to provide support for open source communities.,
11096673603,248246892,2019-10-27 08:54:30,2019-10-27 09:02:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strimzi,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Agree,Agree,,N/A,I was not involved in this area so I cannot judge.,Agree,,Agree,,8,9,CNCF is a great organization. I feel that the people really care about the projects it hosts and about the people working on them. But they also care about the industry and where it is heading.,We are trying to get more diverse group of maintainers. I feel like being part of CNCF is helping with it and we will get there.,n/a,n/a,n/a
11095670672,248246892,2019-10-25 14:13:40,2019-10-26 10:34:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Service Mesh,,,,,,,,,,Other (please specify),"Overall, yes. However, you should allow stickers for sandbox projects to be distributed at kubecon cncf booths. Small things like this help us gain visibility and ultimately gain traction among people who can help bring us to incubating/graduated.",Agree,I need to be more proactive in seeing what is provided. ,Strongly agree,,Strongly Agree,Strongly agree,,N/A,We'll find out when we start doing security audits. :),Strongly agree,,Strongly Agree,,Fantastic,Absolutely,"If it fits within the mission of the CNCF and fits in the mission of the project, then absolutely. ",Help bring more people from underserved areas!,I think we're well met at the moment.,CNCF Maintainer Summit!,Keep up the good work!
11093738388,248246892,2019-10-25 08:41:24,2019-10-25 08:45:27,,,,,,,,,,,,,,,,,,,,,,,Harbor,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Agree,,N/A,N/A,,Strongly agree,,N/A,,Agree,,9,Absolutely,,i think the scholarships you are doing now for kubecon are great. maybe CNCF should have an internship program for D&I candidates that are in college and insert them into different projects. Basically get computer science students and offer them an internship to work on cloud native tools in CNCF portfolio,we are pretty satisfied with what we get today,i can't think of any right now,so far we have a great engagement
11093040251,248246892,2019-10-25 04:34:53,2019-10-25 04:40:13,,,,,,,,,,,,,Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Strongly Agree,Agree,,Strongly agree,,Strongly agree,,Strongly Agree,,8,8,"Great support, and recognised community.","potentially maintainers, need to consider more.",nothing at present,"potentially hosted fuzz testing and code analysis, but need to evaluate some tools.",
11092959782,248246892,2019-10-25 04:02:59,2019-10-25 04:05:51,,,OpenTracing,,,,,,,,Jaeger,,,,,,,,,,,,,,,,,,,,,,,,OpenTelemetry,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Neutral,,Disagree,Neutral,,Neutral,,Neutral,,Disagree,,Neutral,9,,maintainers,"presence on twitter, webinars, questionares ",0,
11092544378,248246892,2019-10-24 23:46:36,2019-10-24 23:52:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonfly,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Strongly Agree,Strongly agree,,Strongly agree,,Strongly agree,,Strongly Agree,,Fantastic,Absolutely,,Operation activities,project booths,distributed cache for golang,No at present    
11092512152,248246892,2019-10-24 23:22:21,2019-10-24 23:27:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KubeVirt,,"Yes, and my needs were generally met",,Agree,It's on me to find the page where all resources that are available are summarized.,Strongly agree,Kudos!,N/A,N/A,We did not look at the new options yet.,N/A,I need to find the place where this is discussed,N/A,I've not looked into this yet.,Agree,"We got attention to present at KubeCon, which is already helpful. I need to learn what other options are available.",9,9,Great people. Independent place. Technically focused.,CNCF is a pool of great open source projects. It would be nice if CNCF could help to attract or reach out to minorities to help get them in touch with the projects.,N/A,N/A,"The start has been fantastic. We are still young, and just getting started"
11091407340,248246892,2019-10-24 11:42:57,2019-10-24 11:50:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KubeVirt,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Strongly Agree,Agree,,Agree,,Agree,,Agree,,9,9,,Unsure,Members of our team focused on community development are often looking for new ideas for swag/branding. Is this an area CNCF could help in a mentorship capacity?,N/A,
11090810386,248246892,2019-10-24 08:22:01,2019-10-24 08:26:20,,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thanos,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Neutral,N/A,"Yes, we have some needs but we did not yet reached for help. Need to create a ticket!",N/A,"We never had that, but we never asked for it explicitly as well.",N/A,"Same here, we need prow, but did not yet ask for it (:",N/A,Never asked as well.,Fantastic,Absolutely,,"Definitely,  we are looking to diversify our contributors and maintainers. We are happy to do more workshops and onboarding if needed as well. However some guidance and marketing help would be nice. ","Speaking about project would do (: Webinars as well. For project booth I really like integrating with Prometheus booth. We are really connected to Prometheus so booth together might make even more sense. This is also to discuss with prometheus team, but on last KubeCon Thanos was touched, asked for plenty of time in Prometheus booth.",All is covered for our perspective,"No I think it's a very good work, we are definitely impressed by high availability of CNCF help and speed in resolving tickets!"
11090492732,248246892,2019-10-23 14:59:21,2019-10-24 06:50:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenEBS,,,,,,,,"Yes, but my needs were not generally met",,Strongly Agree,,Agree,,Neutral,Disagree,"Can't complain, we know these services will be available once the projects moves to Incubating projects",Disagree,"Can't complain, we know these services will be available once the projects moves to Incubating projects",Neutral,"Can't complain, we know these services will be available once the projects moves to Incubating projects",Agree,Better coordination/communication with meetups and presentation by CNCF Ambassadors would be great,8,Absolutely,Great diverse and respected community. ,Scholarship ,"Project booths, meetups, webinars. ","Certifications, Katacoda (or alternative) training platform (community or maintainers can create the content if the service is made available)",General and natural concern from community is that cloud vendors with big their large budget and army of advocates can easily create a great misconception on success and trends. CNCF needs to show that foundation is not biased towards who sponsors the events by balancing its effort and put more of their resources on projects maintained by less funded projects. Service Mesh and Storage are two areas needs CNCF guidance and sensitivity for the benefit of the community not the vendors.
11090477645,248246892,2019-10-24 06:27:08,2019-10-24 06:45:18,,,,,,,,,,,,,,,Vitess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Strongly Agree,Neutral,,Strongly agree,,Neutral,,Strongly Agree,,9,9,"It's a community that ""gets"" Cloud Native, the foundation is managed well and TOC members are respected folks in their domains and generally high EQ.",Scholarships for contributors (or interested students) from diverse backgrounds would be helpful.,"CNCF is already helping us with Webinars. We (Vitess) plan to do a lot more meet-ups next year. A CNCF template for ""how to organize a meet-up"" would be helpful. Also, a forum where projects could learn about and piggyback on each other's meet-ups might be interesting.",I need to learn more about the ServiceDesk and how we can use that for meet-ups. Thanks.,"From my observation, CNCF seems like a well-managed, relatively low-drama foundation that is responsive to the need of projects and manages the vendors/end users tension well. Keep up the good work!"
11090406598,248246892,2019-10-24 06:21:38,2019-10-24 06:23:39,,,,,,containerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Strongly Agree,Agree,,Agree,,N/A,,Neutral,,7,6,,Not Sure,Not sure,n/a,
11090251097,248246892,2019-10-24 05:32:05,2019-10-24 05:35:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Service Mesh,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Strongly Agree,Strongly agree,,Strongly agree,,Strongly agree,,Strongly Agree,,Fantastic,Absolutely,CNCF is *always* helping and *never* in the way.  CNCF spontaneously shows up to ask 'How can we help?' or 'Would this help?'.,Not sure,"You are providing webinars, which are super helpful.",Not sure.,You are doing great!
11089940318,248246892,2019-10-24 03:24:19,2019-10-24 03:29:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KubeVirt,,"Yes, but my needs were not generally met",,Agree,,Neutral,"Sometimes. Pretty fast issues were opened from CNCF regarding to what our project has to address, but when asking questions on them, the resopnse was very delayed or did not happen at all.",Neutral,N/A,We have our own CI infrastructure right now.,Neutral,,N/A,We use our own prow instance.,N/A,,7,5,,no idea.,no idea.,no idea.,Why do we need DCOs and CLAs? Our project already uses Apache 2 license. I don't think that there is any prove that DCOs help in any way if you are already using GPLv3 or Apache 2.
11089709072,248246892,2019-10-24 01:12:09,2019-10-24 01:19:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenEBS,,,,,,,,"Yes, and my needs were generally met",,Disagree,,Strongly agree,,Agree,Neutral,,Neutral,,Neutral,,Neutral,,6,7,,"Scholarships is definitely a good area to look out for. Meet the maintainers via meetups, conferences should help in the long run.",Dedicating a project booth will help a lot.,Community engagements via meetups,
