Respondent ID,Collector ID,Start Date,End Date,Which CNCF Project(s) are you maintaining?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do you feel that CNCF reached out to collaborate and gather info about your project needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Did you feel that the CNCF staff responded quickly to your requests?,,Did you feel that the CNCF TOC responded quickly to your requests?,"Are your documentation needs being met (e.g., website, tech writing)?","Are your CI needs being met (e.g., Travis CI, Circle etc)?",,"Are your security needs being met (e.g., security audits)?",,"Are your non-CI tooling needs being met (e.g., bots or automation)?",,"Are your marketing needs being met (e.g., events, velocity reports)?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)","Would you recommend CNCF to other open source projects, and why?",,"What diversity efforts could CNCF help out with for your project (e.g., maintainers, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
11438479007,254534439,03/23/2020 9:24:36 AM,03/23/2020 9:30:56 AM,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRI-O,,,,,,,,Other (please specify),I don't know if that happened because I joined the project early 2019,Disagree,,N/A,,Neutral,Disagree,Disagree,An official CircleCI account (more parallel builds and custom VMs) would be awesome,Agree,,Neutral,,Neutral,,Neutral,Agree,Its a good place to share the intellectual property of a project,-,The KubeCon project booth is already a pretty good opportunity and we should stick to it.,Support for CircleCI,
11433419638,254534439,03/20/2020 4:36:43 PM,03/20/2020 4:38:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRI-O,,,,,,,,No,,Disagree,,Agree,,Neutral,Disagree,Agree,,Disagree,,Agree,,Disagree,,Neutral,Neutral,,We can always use help promoting CRI-O and getting more maintainers,alright as it is now,none,
11433373075,254534439,03/20/2020 4:17:45 PM,03/20/2020 4:21:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRI-O,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Agree,Agree,Agree,,Neutral,I don't know,Agree,,Agree,,Satisfied,Neutral,,Don't know,"Projects, Booths are good, A webinar would also be of interest.",Don't know,
11432571544,254534439,03/20/2020 8:05:35 AM,03/20/2020 9:01:44 AM,,,,,,,,,,,,,,,,,,,,,,,Harbor,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Agree,,Neutral,Agree,Agree,,Strongly agree,,Agree,,Strongly Agree,,Satisfied,Agree,,Training,case study,None,None
11432487931,254534439,03/20/2020 7:44:11 AM,03/20/2020 7:51:56 AM,,,,,,,,,,,,,,,,,,,,,,,Harbor,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Agree,Strongly Agree,Agree,,Agree,,Agree,,Agree,,Satisfied,Agree,It is energetic,maintainers,webinars,translate in webinars,
11431518609,254534439,03/19/2020 10:39:35 PM,03/19/2020 10:41:27 PM,,,,,,,,,,Envoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Strongly Agree,Agree,Agree,,Strongly agree,,Strongly agree,,Strongly Agree,,Satisfied,Strongly Agree,,N/A,N/A,N/A,
11431391826,254534439,03/19/2020 9:46:33 PM,03/19/2020 9:53:58 PM,,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,Cortex,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,The response times have been amazing!,Strongly Agree,Neutral,Agree,"Hrm, while yes, for Prometheus, not really for Cortex. But we're also just a sandbox project.",Strongly agree,"Great for Prometheus, hopefully soon for Cortex (we'll get to incubations soon :P) :)",Agree,,Strongly Agree,,Very Satisfied,Agree,NEUTRAL GOVERNANCE. Its a benefit most projects _don't_ want to avail though ;)    But other than that great branding and support.,Having good support via Community Bridge and GSoC,Prometheus is having great support but maybe expand the same to sandbox as well?,Give all the graduated goodness to sandbox too :),
11427800181,254534439,03/18/2020 6:21:11 PM,03/18/2020 6:23:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Service Mesh,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Agree,Strongly Agree,Strongly agree,,Strongly agree,,Strongly agree,,Strongly Agree,,Satisfied,Agree,,-,-,-,
11425738211,254534439,03/17/2020 11:08:49 PM,03/17/2020 11:10:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Service Mesh,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Strongly Agree,Strongly Agree,Strongly agree,,Strongly agree,,Strongly agree,,Strongly Agree,,Satisfied,Strongly Agree,,"hard to say at this point, will think about this.",Will revisit this once we are incubating.,N/A,
11419940584,254534439,03/15/2020 5:07:21 PM,03/15/2020 5:10:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,etcd,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Strongly Agree,Agree,Agree,,Strongly agree,,Neutral,,Agree,,Very Satisfied,Agree,Supports related to the security and jepsen audit projects were really great.,I think CNCF is doing good in this area.,Not sure,Providing private issue trackers like jira or private github will be great for security related issues.,Thanks a lot for your great help!
11418117989,254534439,03/14/2020 6:32:32 AM,03/14/2020 6:37:30 AM,,,,,,,,,,,,TUF (The Update Framework),,,,,,,,,,,,,,,,,,,,,,,,,,,,In-Toto,,,,,Other (please specify),"Some aspects have worked well, others not so much",Agree,,Neutral,"It has been mixed.  Sometimes yes, sometimes not so much.",Neutral,Agree,Strongly agree,,Strongly agree,,Strongly agree,,Agree,,Satisfied,Agree,"Yes, it is a neutral home and does a great job of promoting projects.  I like the community and the SIGs",Scholarships to help attendees from underrepresented groups who contribute to projects may be helpful...,More project / SIG cross-pollenation would be good.  Maybe have 'tracks' at KubeCon where sig meetings could be interleaved with relevant project talks?,I think it's quite nice overall.,
11417392184,254534439,03/13/2020 10:22:14 PM,03/13/2020 10:27:06 PM,,,,,,containerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Strongly agree,,Agree,Agree,Agree,,Agree,,N/A,,Disagree,,Neutral,Disagree,Most projects don't need to be part of a foundation.,Not sure,Not sure,Not sure,
11415306131,254534439,03/13/2020 5:00:11 AM,03/13/2020 5:13:19 AM,,,,,,,,,,,,,,Rook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,Ihor and Chris have responded to all my service desk tickets within the same business day.  Great work helping us out!!,Agree,N/A,Disagree,"We had hoped for the CNCF to host our CI in the past but that was explicitly not an option, see https://github.com/crosscloudci/cross-cloud/issues/137#issuecomment-456770747",Strongly agree,"We had a great experience with Trail of Bits performing a security audit for Rook, ChrisA got us set up with them and the CNCF covered the costs.  Great!!!",Agree,Looks like there are some tooling that we could be taking advantage of but we are not yet. Thanks for the link here in the question!,Agree,,Very Satisfied,Agree,"I would recommend the CNCF for a few reasons. First, the technical vetting and due dilligence for a project to be accepted is great and puts a stamp of approval and trust on a new project.  Second, the marketing and visibility from the CNCF is really good and gets the project to a broader audience.  This worked great for Rook since we were a very early project, perhaps more recent projects are having a different experience that could perhaps be more diluted with the higher number of projects.  That is probably counter-balanced though by the improved processes, programs, tooling, support, etc. that the CNCF provides.  All of that has come a long way and is really quite good now.",The GSoC participation and support has been really good for Rook.,"If Rook is to graduate soon, a marketing push and announcements would be really awesome around that!",CI/CD hosting and/or donations of free credits to existing AWS and GCP accounts.,I think the line-up of services that the CNCF offers has come a really long way and Rook has taken advantage of more of them than we used to. ChrisA has been an enormous help with the guidance and advice he provides for the project too.  We also love working with Ihor and Amye.  Good folks at the CNCF :)
