Respondent ID,Collector ID,Start Date,End Date,Which CNCF Project(s) are you maintaining?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do you feel that CNCF reached out to collaborate and gather info about your project needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Did you feel that the CNCF staff responded quickly to your requests?,,Did you feel that the CNCF TOC responded quickly to your requests?,"Are your documentation needs being met (e.g., website, tech writing)?","Are your CI needs being met (e.g., Travis CI, Circle etc)?",,"Are your security needs being met (e.g., security audits)?",,"Are your non-CI tooling needs being met (e.g., bots or automation)?",,"Are your marketing needs being met (e.g., events, velocity reports)?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)","Would you recommend CNCF to other open source projects, and why?",,"What diversity efforts could CNCF help out with for your project (e.g., maintainers, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
11405416517,254534439,03/10/2020 12:30:22 AM,03/10/2020 12:33:05 AM,Kubernetes,,,,,,,,,,,,,,,NATS,,,,,,,,,,,,Virtual Kubelet (VK),,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Strongly agree,,Strongly Agree,N/A,N/A,,Agree,,Strongly agree,,N/A,,Satisfied,Agree,,I don't know,Don't have an answer for that atm.,"So far, so good. No suggestions.",
11405372324,254534439,03/10/2020 12:07:02 AM,03/10/2020 12:13:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,etcd,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Neutral,Agree,Agree,,Strongly agree,,Neutral,,Strongly Agree,,Satisfied,Strongly Agree,Overall good communication from the CNCF. Overall great team to work with.,n/a,n/a,n/a,
11404499730,254534439,03/09/2020 5:50:36 PM,03/09/2020 6:56:42 PM,,,,,,,,,,,,,,Rook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Agree,N/A,Disagree,Rook CI is independent of CNCF. Seems like opportunity for helping the projects.,Strongly agree,,N/A,,Agree,,Satisfied,Strongly Agree,Increases community outreach,not sure,Project booths and presentations at conferences are very positive.,no suggestions,"For the conferences, two talks are limiting (intro and deep dive). For Rook, we really want an intro talk and then a deep dive session separately for each storage provider. Each storage provider is very different and could use its own focus. Even if we only had a deep dive for our stable storage providers (Ceph & EdgeFS) to start with, it would be helpful."
11404177230,254534439,03/09/2020 5:11:12 PM,03/09/2020 5:19:13 PM,,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Strongly Agree,Neutral,Strongly agree,,Strongly agree,,Agree,,Strongly Agree,,Very Satisfied,Strongly Agree,drives a much quicker progress of the project for tasks that can't get addressed by the maintainers.,more mentors,no opinion,mentoring for GSOC or similiar programs,
11404136464,254534439,03/09/2020 5:03:53 PM,03/09/2020 5:07:51 PM,,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Strongly Agree,N/A,Strongly agree,,Strongly agree,,Strongly agree,,Strongly Agree,,Very Satisfied,Strongly Agree,,-,-,-,-
11399713672,254534439,03/07/2020 3:38:45 AM,03/07/2020 3:52:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,TiKV,,,,,,,,,,,,,,,,,,,,No,,Neutral,,Neutral,,Neutral,Neutral,Neutral,,Neutral,,Neutral,,Disagree,,Somewhat dissatisfied,Strongly Agree,want more projects to join CNCF and build a great cloud ecosystem.,Cooperation with other projects in CNCF,"Webinar, Monthly online meeting. ",No,No
11399704423,254534439,03/07/2020 3:27:08 AM,03/07/2020 3:46:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,TiKV,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Agree,Agree,Agree,,Agree,,Neutral,,Neutral,,Very Satisfied,Agree,,Accept more TiKV talk in CNCF events,No,No,No
11399694935,254534439,03/07/2020 3:30:57 AM,03/07/2020 3:41:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,TiKV,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Agree,Agree,Strongly agree,,Strongly agree,,Agree,,Agree,,Neutral,Strongly Agree,,strengthen cooperations between various cncf projects,I think webinars are good to help the projects to promote their features.,"No, that's good",
11399595021,254534439,03/07/2020 2:30:06 AM,03/07/2020 2:36:30 AM,,,,,,containerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Strongly agree,,Neutral,Agree,Agree,,Agree,,Agree,,Agree,,Neutral,Strongly Agree,,Not sure yet~,Project booths!,No need right now,
11399372120,254534439,03/07/2020 12:02:27 AM,03/07/2020 12:24:57 AM,,,,,,,,,,,,,,,,,,,Open Policy Agent,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly disagree,,Strongly disagree,,Neutral,Strongly disagree,Strongly disagree,,Strongly disagree,,Strongly disagree,,Strongly Agree,,Very Satisfied,Strongly Agree,"I would certainly recommend CNCF for organizations and creators seeking a vendor neutral platform to host, support, and promote their projects.",Nothing jumps to mind immediately. Perhaps the CNCF could do more to help new attract new contributors to hosted projects? An aggregator for “needs help” issues comes to mind.,At this point I can’t think of much the CNCF can do to improve marketing support. It’s already doing great.,Nothing jumps to mind.,
11397886242,254534439,03/06/2020 3:18:07 PM,03/06/2020 3:23:10 PM,,,,Fluentd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Agree,Agree,Agree,,Agree,,Agree,,Agree,,Satisfied,Agree,,N/a,N/a,All good now :),All good
11396562102,254534439,03/06/2020 2:10:50 AM,03/06/2020 2:15:34 AM,,,,,,,,,,,,,,,,,,,,CloudEvents,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Strongly Agree,N/A,N/A,,N/A,,N/A,,Strongly Agree,,Very Satisfied,Strongly Agree,"I feel like we don't actually ask a lot of the CNCF or its staff, but whenever we do ask something of them they're always eager and quick to help. So from our perspective things are great and I don't see why other projects wouldn't consider the CNCF.",n/a,Can't think of anything beyond what they're already doing. I've been very impressed with the number of AR/PR folks that they've lined up for us to talk to.,None,Not at this time
11396315819,254534439,03/06/2020 12:04:22 AM,03/06/2020 12:22:49 AM,,,,,,,,,,,,,,,Vitess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Strongly agree,,Agree,Agree,Agree,"We opted to switch to GitHub actions, but it is working well for us.",Agree,,Agree,,Neutral,"I think we could do better, but need more people on our side.",Satisfied,Strongly Agree,,Maybe a CNCF version of Google summer of code/summer of docs?,"I think for Vitess it is transforming into ""the database for kubernetes"". It would be interesting to see what advice PR (more so than marketing) would have with changes to tag lines.",I don't use all the great services available currently. This is on me to read up and take advantage! Thank you.,
11395990863,254534439,03/05/2020 10:23:12 PM,03/05/2020 10:27:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,Buildpacks,,,,,,,,,,,,,,,,,,No,,Agree,,Strongly agree,,Disagree,Neutral,Neutral,,Neutral,,Neutral,,Neutral,,Satisfied,Agree,,A way to encourage diverse GSoC participants,Time for workshops at events,Advising on graduation process,No
11392166620,254534439,03/04/2020 8:16:55 PM,03/04/2020 8:22:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KubeEdge,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Strongly agree,,Strongly Agree,Neutral,Neutral,,N/A,,N/A,,Agree,,Neutral,Strongly Agree,Structured and well organized ecosystem!,"Ack the good contributions, students program for open source contribution",More solutions based on multiple projects and branding through that,NA,NA
11390701548,254534439,03/04/2020 10:59:21 AM,03/04/2020 11:11:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flux,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Strongly Agree,Neutral,Strongly agree,,Neutral,,Neutral,,Neutral,There is no marketing support for sandbox,Neutral,Strongly Agree,A vendor-neutral home can drive adaption and contribution,A scholarships program would be great for Flux,"There is no marketing support for sandbox, but I wish we could do CNCF webinars for Flux",None,
11390471070,254534439,03/04/2020 8:28:36 AM,03/04/2020 8:36:03 AM,,,,,,containerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Neutral,,Disagree,Disagree,Disagree,,Agree,,Disagree,,Neutral,,Satisfied,Agree,,"Better documentation, event opportunities at more diverse events","Virtual events, more mentions in keynotes",Testing infrastructure,
11390169942,254534439,03/04/2020 3:35:54 AM,03/04/2020 5:06:30 AM,,,,,,,,,,,,,,,,,,,,,,,Harbor,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Strongly Agree,Agree,Agree,,Agree,,Agree,,Agree,,Satisfied,Agree,populate and can benfit a lot from CNCF.,scholarships,kubcon meeting session,no,no
11389610312,254534439,03/04/2020 12:37:52 AM,03/04/2020 12:46:17 AM,,,,,,,,,,,,,,,,,SPIFFE,SPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Disagree,,Agree,,Agree,Disagree,Disagree,,Neutral,,Agree,,Disagree,,Neutral,Agree,,"Maintainers would be amazing, but bringing on new maintainers is difficult and takes quite some time. I wouldn't even know where to start beyond the folks who are already regularly engaging.","Everything! We get very very little marketing as things currently stand. I imagine that things will improve after moving to Incubation, however the delta between Sandbox and Incubation is not super clear and it feels like there is a lot of unwritten/unstated sentiment around this",Help with docs. This is something I keep hearing is available but have never actually seen,
11389514886,254534439,03/04/2020 12:10:02 AM,03/04/2020 12:12:21 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Longhorn,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Strongly Agree,Agree,N/A,,N/A,,N/A,,N/A,,Satisfied,Strongly Agree,CNCF provides a very good environment for open source projects.,N/A,Probably more webinars for the sandbox projects.,Doc writer,
11389488364,254534439,03/04/2020 12:00:42 AM,03/04/2020 12:02:49 AM,,,,,CoreDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Agree,Agree,Agree,,Strongly agree,,Agree,,Agree,,Satisfied,Strongly Agree,,maintainers,project booths,n/a,
11389411378,254534439,03/03/2020 11:32:53 PM,03/03/2020 11:36:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Falco,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Agree,,Agree,Strongly Agree,Neutral,,Strongly agree,,N/A,,N/A,,Neutral,Strongly Agree,,I don’t have a strong opinion on this,"Webinars would be great, along with helping us communicate our community initiatives ",Artifacts hosting,
11389411085,254534439,03/03/2020 11:17:58 PM,03/03/2020 11:36:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flux,,,,,,No,,Agree,,Agree,,Neutral,Neutral,Strongly agree,,N/A,,N/A,,Neutral,,Neutral,Agree,"Neutral ground to collaborate, exposure.",Maintainers,N/A,N/A,Filter out sandbox project maintainers from some of the mass emails that get send out. One that comes to mind specifically was the call to participate in the ‘project pavilion’ at KubeCon EU.
11389400530,254534439,03/03/2020 11:30:16 PM,03/03/2020 11:32:31 PM,,,,,,,,,,,,,,,,,SPIFFE,SPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Strongly Agree,Agree,Strongly agree,,Strongly agree,,Agree,,Agree,,Very Satisfied,Strongly Agree,,none,webinars,can't think of one,
11389386098,254534439,03/03/2020 11:24:50 PM,03/03/2020 11:27:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Service Mesh,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Strongly Agree,Strongly Agree,N/A,,N/A,,Strongly agree,,Strongly Agree,,Very Satisfied,Strongly Agree,The CNCF staff has a strong attitude of serving the communities that shines through in everything they do.  It makes CNCF an exceedingly pleasant place to maintain a project.,Unsure,You've been wonderful with Webinars to date.,None come immediately to mind,"You folks are wonderful, and we appreciate all you do!"
11383736475,254534439,03/01/2020 11:38:55 PM,03/01/2020 11:46:37 PM,,,,,,,,,,,,,,Rook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Strongly Agree,N/A,N/A,Our own Jenkins is used.,Strongly agree,,N/A,,Strongly Agree,,Very Satisfied,Neutral,It depends on what the project needs.,N/A,"We are already having a KubeCon booth.  I'll probably look into webinars soon, when I get the time.",N/A,
11381225509,254534439,02/29/2020 4:35:09 AM,02/29/2020 4:46:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KubeEdge,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Agree,Agree,Agree,,Agree,,Agree,,Agree,,Satisfied,Agree,,Lots of useful projects,None,AI,None
11376116391,254534439,02/27/2020 3:50:14 PM,02/27/2020 4:04:29 PM,,Prometheus,,,,,,,,,,,,,,,,,,,,,,OpenMetrics,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Neutral,,Neutral,Disagree,Strongly agree,,Strongly agree,,Neutral,,Neutral,,Neutral,Agree,Is a good umbrella org.,Sustained documentation efforts could help with outreach and onboarding; scholarships would make sense.,Channeling interviews/article writing/podcasts to developers.,"As silly as that might sound initially, one wish I have heard repeatedly is exclusive swag, e.g. jackets or stickers which only maintainers can get access to.",
11374313440,254534439,02/26/2020 11:30:25 PM,02/26/2020 11:37:00 PM,,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Strongly agree,,Neutral,Agree,Strongly agree,,Strongly agree,,N/A,,Agree,,Satisfied,Neutral,I don't have enough experience yet with CNCF,n/a,n/a,We were discussing internally about the ability to have G-Suite accounts to centralize our documents and get project specific emails ; to make a split private / work / project lives.,I would like to better understand the budgets behind our projects; maybe a confidential report about our spendings etc.
11369114648,254534439,02/25/2020 9:13:34 AM,02/25/2020 9:24:51 AM,,,,,,containerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Strongly Agree,Agree,Disagree,,Strongly agree,,Neutral,,Strongly Agree,,Satisfied,Strongly Agree,,Diversity efforts for timezone minorities,project booths,CI instances with cgroup v2 enabled,"CNCF should LESS rely on zoom meeting or any kind of synchronous communication method, which can result in ruling out timezone minorities from decision-making.  "
11368110996,254534439,02/24/2020 10:33:27 PM,02/24/2020 10:45:39 PM,Kubernetes,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thanos,,,,,,,Other (please specify),Needs are generally met but even small amount of money are discussed that in my opinion shouldn’t be an issue.,Agree,,Neutral,,Disagree,Disagree,Neutral,,Strongly agree,,N/A,Yes but not maintained by CNCF,Strongly Agree,,Somewhat dissatisfied,Neutral,"Primarily for a neutral ground, which is a shame because it used to be a place that I thought was about engineering excellence, which I don’t believe anymore. Once in the CNCF you deal with politics and process that are higher than the gain for most projects.",Pay people to do engineering work.,Marketing efforts are well met.,Managed Kubernetes cluster(s) for various purposes to meet project’s needs for compute.,"Create a conference around the CNCF that is not kubecon. Nobody believes in the cloud native con branding, and I think that’s a problem for every project other than Kubernetes. Remove processes, not add more processes."
11367829552,254534439,02/24/2020 8:39:12 PM,02/24/2020 9:01:12 PM,,,,,,,,,,,,,,,,,,,,,,Helm,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Strongly Disagree,Agree,Agree,,Strongly agree,,Neutral,,Neutral,,Satisfied,Disagree,The experience of working with the TOC has become increasingly difficult and time consuming.,I don't know,I don't know,binary downloading (of packages) with advanced analytics,
11367551181,254534439,02/24/2020 7:23:43 PM,02/24/2020 7:25:46 PM,,,,,CoreDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Agree,,Neutral,N/A,N/A,,N/A,,N/A,,N/A,,Very Satisfied,Strongly Agree,,Na,Webinars,Na,
11367462540,254534439,02/24/2020 6:50:50 PM,02/24/2020 6:57:49 PM,,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Agree,Agree,Agree,,Agree,,Agree,,Agree,,Satisfied,Agree,,scholarship,project booth at CNCF events,none,
11367461984,254534439,02/24/2020 6:43:36 PM,02/24/2020 6:56:03 PM,,,OpenTracing,,,,,,,,Jaeger,,,,,,,,,,,,,,,,,,,,,,,,OpenTelemetry,,,,,,,,,,"Yes, but my needs were not generally met",,Neutral,,Neutral,,Neutral,Disagree,Disagree,,Agree,,Disagree,,Agree,,Neutral,Agree,,.,.,Hire someone to help integrating FOSSA into CI,
11367420357,254534439,02/24/2020 6:39:35 PM,02/24/2020 6:42:28 PM,,,,,,,,,,,,,,,,NATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly disagree,,N/A,,Neutral,Neutral,Neutral,,Neutral,,Neutral,,N/A,,Neutral,Neutral,,Not sure,Not sure,Not sure,
11367419795,254534439,02/24/2020 6:38:47 PM,02/24/2020 6:42:16 PM,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, but my needs were not generally met",,Neutral,,Neutral,,Neutral,Disagree,Strongly disagree,I believe the CNCF needs to step up it's efforts here and standardize across projects.,Agree,,Neutral,,Agree,,Neutral,Agree,,scholarships and webinars,Bring broader awareness of certification and make it as inexpensive as possible to broaden the base of admins.,n/a,n/a
11367346323,254534439,02/24/2020 6:14:23 PM,02/24/2020 6:20:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Service Mesh,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Strongly agree,,Agree,Neutral,Strongly agree,,Neutral,,Neutral,,Agree,,Satisfied,Strongly Agree,,scholarships,Webinars,I am ok with what is already proposed.,
